"GEO_ID","id",
"NAME","Geographic Area Name",
"S1901_C01_001E","Estimate!!Households!!Total",
"S1901_C01_001M","Margin of Error!!Households MOE!!Total",
"S1901_C01_002E","Estimate!!Households!!Total!!Less than $10,000",
"S1901_C01_002M","Margin of Error!!Households MOE!!Total!!Less than $10,000",
"S1901_C01_003E","Estimate!!Households!!Total!!$10,000 to $14,999",
"S1901_C01_003M","Margin of Error!!Households MOE!!Total!!$10,000 to $14,999",
"S1901_C01_004E","Estimate!!Households!!Total!!$15,000 to $24,999",
"S1901_C01_004M","Margin of Error!!Households MOE!!Total!!$15,000 to $24,999",
"S1901_C01_005E","Estimate!!Households!!Total!!$25,000 to $34,999",
"S1901_C01_005M","Margin of Error!!Households MOE!!Total!!$25,000 to $34,999",
"S1901_C01_006E","Estimate!!Households!!Total!!$35,000 to $49,999",
"S1901_C01_006M","Margin of Error!!Households MOE!!Total!!$35,000 to $49,999",
"S1901_C01_007E","Estimate!!Households!!Total!!$50,000 to $74,999",
"S1901_C01_007M","Margin of Error!!Households MOE!!Total!!$50,000 to $74,999",
"S1901_C01_008E","Estimate!!Households!!Total!!$75,000 to $99,999",
"S1901_C01_008M","Margin of Error!!Households MOE!!Total!!$75,000 to $99,999",
"S1901_C01_009E","Estimate!!Households!!Total!!$100,000 to $149,999",
"S1901_C01_009M","Margin of Error!!Households MOE!!Total!!$100,000 to $149,999",
"S1901_C01_010E","Estimate!!Households!!Total!!$150,000 to $199,999",
"S1901_C01_010M","Margin of Error!!Households MOE!!Total!!$150,000 to $199,999",
"S1901_C01_011E","Estimate!!Households!!Total!!$200,000 or more",
"S1901_C01_011M","Margin of Error!!Households MOE!!Total!!$200,000 or more",
"S1901_C01_012E","Estimate!!Households!!Median income (dollars)",
"S1901_C01_012M","Margin of Error!!Households MOE!!Median income (dollars)",
"S1901_C01_013E","Estimate!!Households!!Mean income (dollars)",
"S1901_C01_013M","Margin of Error!!Households MOE!!Mean income (dollars)",
"S1901_C01_014E","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months",
"S1901_C01_014M","Margin of Error!!Households MOE!!PERCENT ALLOCATED!!Household income in the past 12 months",
"S1901_C01_015E","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months",
